"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","BOW$target"
5.66148515357363e-09,2.05931266760473e-13,9.74590405720418e-10,5.99311227708025e-05,1.7990571684493e-12,5.97096749777421e-51,4.23293561803483e-13,6.6717519694356e-31,8.8256870014944e-05,1.04703813903493e-21,2.2480808446444e-16,4.39011253588397e-05,0.000236214348554517,7.70276072093634e-18,4.67376878842705e-57,9.17882479974776e-20,1.52674674288698e-26,2.5292676749884e-07,6.41817615799872e-18,8.34967729939459e-05,1.0329528883629e-30,3.36258367079349e-06,5.86138049609317e-05,0.000109579356508469,3.62193230965802e-25,2.42043928462171e-24,3.29174520343764e-07,8.14944204070435e-05,1.43449128084902e-08,4.89250043061334e-21,1.27902905969376e-25,4.69426783781012e-13,1.22970640278011e-09,3.28357794334851e-27,3.02747426453855e-18,4.99595797459644e-11,2.08402538309544e-15,0.000103899144393756,7.13134448148074e-18,2.61316421710504e-06,0.000128032612473505,2.19416529845723e-23,7.84083241782455e-30,9.71047456279204e-16,9.70262659274297e-23,3.55419524695344e-11,3.62726422591706e-43,2.73290183682693e-10,5.08237439618658e-18,4.89600803527494e-21,"category1"
4.13184962032951e-18,7.65606766752856e-05,2.88260537622166e-25,4.00496912373636e-09,6.34140712275506e-42,7.33762898988486e-23,1.13947053961644e-23,1.10299860940192e-16,3.4107303377702e-14,0.000161485622339172,2.40182681852601e-26,8.06897648144899e-13,7.01751666559674e-45,0.000208785123695308,1.69270577698814e-07,9.11788522122977e-23,4.34330259075441e-06,6.36300637094491e-20,1.65926509656402e-06,7.44941510936945e-33,0.000131977923917365,1.36550862451399e-55,8.23033262820799e-17,9.77317919757408e-10,3.97510356003961e-05,6.19536307713203e-18,1.63916818874402e-22,6.25424392997729e-51,1.16712206790976e-30,3.89497214265898e-12,0.000128138724542105,2.62429180339714e-18,1.34176686320795e-18,0.000231267840572701,8.27245417290778e-10,4.77535528050242e-20,1.57692705045698e-05,2.04116579490137e-30,2.76563306397455e-17,9.18243396633117e-31,2.03035095084881e-15,1.85887156393205e-08,3.0621694293499e-19,4.75892509182595e-18,2.31636104773558e-17,9.47123771762378e-34,6.74572931922668e-08,2.81295675315658e-26,8.55997606934983e-15,8.35999571069735e-11,"category1"
6.15618585325619e-08,1.50907256099784e-12,6.70400629405729e-10,0.000150728250525524,7.08978926530098e-05,1.64486786081889e-44,6.06524382556028e-22,5.00425951469786e-20,2.33937726851029e-37,3.57850181404504e-17,1.15704596863962e-08,5.41838416500552e-08,0.000197862043806122,2.37257139092407e-17,1.14513606398075e-23,9.42233708028709e-35,0.000149874387961404,7.37987478524609e-11,2.8414061944298e-11,0.000124479732276089,8.02961920658277e-51,6.07776043911061e-13,0.000122127346949191,1.40572906725083e-12,1.44818376716988e-15,3.35877002942235e-14,2.21410268176786e-07,3.7041016582733e-07,5.17248889935698e-07,1.03837683586588e-14,2.33784208602992e-28,6.93217557691126e-20,5.11086088764895e-14,6.01554666196399e-20,2.35589838325691e-14,3.81930738462479e-08,2.23936262204404e-22,5.43775479922109e-20,5.58044711989265e-29,2.23253883377612e-20,9.70778907013351e-06,9.45068257082649e-21,5.40281590118872e-31,2.12639712562526e-16,1.06099119469587e-73,1.14885004404081e-10,1.762612430878e-18,4.73039338411001e-09,7.02752459692284e-11,0.000173042286390859,"category1"
2.2836740881074e-10,0.000141452360152904,2.82389927461805e-19,1.03354357678546e-14,5.64271518170063e-13,8.55209058122452e-06,8.09208569043306e-17,8.59587046699819e-09,1.87468139089255e-11,2.15362813468846e-10,7.29404868596018e-19,1.10490542784476e-24,3.26493594992591e-25,8.33037701104581e-29,2.32151354459801e-16,1.05016291053927e-21,1.96668578462786e-19,1.44563351369663e-10,2.58203700609362e-05,5.93388603119774e-27,5.19237617971132e-05,1.23598907978722e-19,4.52967296872829e-06,4.75104039289911e-05,1.97987061830838e-18,6.55246194844849e-05,8.34168325664384e-31,2.46765643483182e-06,9.53865127517521e-06,2.34143526317518e-15,0.000249662693828464,3.53446291491363e-05,3.34222901067732e-14,5.92525798179486e-11,4.43938078441683e-12,1.98155361785939e-05,4.71781161922267e-09,7.62128984978374e-06,5.63991757260415e-57,1.91408174504011e-21,2.20934438973238e-19,2.45095365979026e-16,5.11261653027426e-05,8.47155598812033e-21,0.00014708296506252,7.60531747924802e-15,2.35800885880123e-15,0.000131699190160441,3.13958748567173e-07,2.91725832471539e-17,"category1"
1.56061331156395e-05,8.54363423949253e-19,1.89513766762611e-09,1.10648348544647e-06,9.04035169663487e-05,0.000186209637837083,2.15357204593461e-53,1.44769180926093e-12,2.13893211889335e-30,6.18321013572176e-11,5.38582056778052e-05,2.70107182884239e-14,6.13143611558452e-22,1.32546215062615e-45,2.19818223482658e-19,2.00899785942246e-19,3.72074710809807e-38,1.13288218273186e-25,1.15026186343801e-05,7.20760192080264e-22,5.97204476516757e-14,1.2862382642753e-57,2.55625544549833e-13,4.53243413577641e-05,1.03702426062672e-10,1.04815184654137e-13,4.13150570967887e-33,2.67588701512989e-21,0.000259540477020072,1.88757371171302e-10,9.06479467242291e-11,7.89457285738897e-25,4.4270667961187e-05,1.33961724267161e-37,5.74240810500576e-19,1.27861274556434e-21,6.75532736920223e-10,5.02987901149767e-14,9.45333119116456e-05,2.30580919821784e-10,2.56140152115942e-14,1.32384073826988e-09,1.75558638192186e-08,2.01644426202886e-10,0.000180365620062848,4.57369582059201e-14,2.16768143415335e-34,4.31261768137117e-19,1.72566561449716e-05,2.68139321037652e-13,"category1"
1.26362750141425e-20,7.07291811066232e-18,5.05755409848451e-06,9.80708800920973e-05,2.75580187003509e-09,1.2148551713435e-66,1.67534884465353e-23,2.18038109214234e-30,1.08876134153954e-36,8.32534554323625e-16,3.94875365385505e-17,3.40321404916432e-08,9.27695384785974e-05,1.6493322174399e-35,2.26963021120917e-39,5.67957640031938e-55,1.31835745917521e-09,1.0264773963244e-13,6.23903157941581e-43,0.0004215323639353,4.13881784226638e-63,1.25022149945788e-18,7.30547767146526e-05,6.37941605832149e-11,7.90925155906767e-19,4.15544629603091e-40,0.000114587939172306,6.24955123889634e-11,3.96874267300995e-07,1.24904642103978e-20,1.66540898146043e-06,3.13946219670647e-15,1.65466410337312e-24,4.32214094467222e-56,1.17188893094205e-39,1.8738084034509e-16,3.17384264609479e-26,3.71728183540826e-26,2.21278076138901e-32,5.13208683539679e-17,2.67525608500591e-05,7.95276310669111e-25,1.15958021922706e-33,1.35871322921538e-29,7.66778244135137e-59,0.000165934743885591,2.49756073032073e-66,1.3912680975763e-07,9.30122162036548e-25,1.79922513576091e-14,"category1"
2.89179311709799e-23,1.43604390792441e-25,4.8258210459953e-12,8.63378493780922e-19,5.38933149398533e-19,8.63823721191214e-43,4.61428661843127e-17,9.22497258874354e-06,4.41972252488678e-24,1.14744826492331e-38,2.79083655820064e-14,3.69732662985376e-13,0.000233338825077163,0.000115622170520177,9.47121128659623e-77,1.90390171951075e-21,4.39320746712414e-29,1.67912127400762e-39,3.67988314229408e-10,0.000640921046275027,2.08294092444018e-12,1.51638523854621e-25,4.70018321272994e-17,8.52291692554834e-07,8.61654719449223e-26,2.28222007466281e-32,7.49177541741882e-09,5.24042388253717e-16,9.92313553962877e-28,1.89155907555977e-21,1.17015320377039e-48,7.0474141677181e-32,1.03774561876078e-16,5.9456740022962e-20,5.29011632635028e-17,9.65847223713514e-35,5.9986573973032e-14,2.41685526015011e-56,2.95148002758385e-09,1.42003625877102e-37,2.98752196411922e-08,3.07975351331895e-39,8.79810196917204e-38,1.70651982907393e-17,4.84328505372137e-20,4.87434333258801e-72,1.57490441346482e-14,2.38390374916161e-18,9.86737407921912e-19,1.9507848632899e-48,"category1"
1.12200418563539e-08,7.19969663932244e-28,9.56634734991982e-16,1.21568699936292e-05,9.08501610989411e-21,2.97542194169884e-11,7.66368318443177e-26,2.38177665438751e-44,6.37361690515763e-25,3.72428390518171e-36,9.67047002366718e-05,2.21436854243042e-07,0.000506873641073485,7.33755518441499e-12,2.3805018546618e-20,3.0947166869432e-16,0.000149096465269008,8.45469115163259e-33,9.12320964088314e-29,4.67145431951578e-20,7.02831409730484e-26,1.02930198959821e-12,0.000118004431704142,1.83812103623919e-05,1.80753022211842e-48,3.05602533022746e-05,6.97896270701053e-13,2.95660274060712e-05,3.66976584795979e-05,1.41109410285666e-30,3.16553306910387e-23,1.01284890026975e-10,1.32129730610539e-17,2.84077551282465e-24,4.35424141217562e-34,5.56982901820095e-07,9.43013938933653e-23,8.15398538440591e-10,5.43270648187736e-26,1.16804822958781e-06,9.16947371643409e-11,7.62742713561099e-36,3.82648698660432e-34,1.59867452971586e-20,1.32891542624583e-30,2.26765975001184e-16,6.94632928610296e-12,1.31526996854122e-18,2.4646585813655e-16,4.7060133825829e-22,"category1"
2.12574666045402e-50,1.47511240280349e-11,5.11673309108063e-18,1.48314731998606e-09,6.38817519096135e-13,4.01114216479785e-84,6.79991644481894e-26,4.39631580710188e-31,1.01243485946798e-84,9.36956375157695e-44,2.08853837608789e-21,1.36637615531525e-05,1.12283900192074e-08,9.99241687217804e-05,7.16016976828616e-23,5.61685687702829e-52,3.80477824412862e-13,1.17357720556655e-70,7.39774710021518e-24,0.000579712650876394,8.02959550293939e-71,1.45387774763856e-12,1.3268882857887e-52,3.15341668784123e-25,4.75740674634848e-27,5.38276764663564e-48,1.29676723030685e-06,2.97988130333136e-73,4.7511022662379e-33,2.05067951425948e-80,1.76415272381652e-51,5.80255159837548e-21,1.1117838861947e-21,1.18190884335189e-15,8.05330571500356e-50,1.79245864346779e-70,2.88806937437073e-21,1.03130881399533e-78,6.34810506975064e-05,1.73619547620611e-24,0.000241902434503425,3.33146133805852e-65,4.29711643325877e-18,2.87335976160261e-108,1.7268423955615e-45,3.77683011573208e-46,4.99364156634444e-82,6.43765460864097e-09,7.64717077368603e-43,6.692690491807e-57,"category1"
2.31064487939744e-11,6.38306199842303e-09,4.26233569842146e-05,4.41615185488965e-10,6.35595531857927e-13,1.23010261752878e-16,7.08970557493878e-25,3.23358076627824e-05,1.20215613512857e-23,7.70067619425318e-21,1.83746343370697e-14,6.44210079734637e-10,4.88481454860483e-10,5.78496979316362e-05,3.7782096169364e-17,1.49426695889706e-33,5.54757727468466e-09,1.94668356150747e-17,2.67504575206083e-20,3.31025099170851e-05,7.35996783489033e-20,6.17197063410003e-05,9.12222890566466e-11,5.07629629458765e-11,9.62502627972397e-28,1.1269609233039e-13,0.000683409438495954,6.50316110733763e-15,1.74233542975036e-31,5.07835959934948e-25,6.13676830128639e-05,2.99934002095541e-17,9.33415663803274e-08,3.06033029104335e-28,5.47922054130192e-10,2.74661784548694e-05,4.3924535393609e-13,2.04700496268381e-19,2.07548520458797e-29,3.52627812609228e-22,9.67676090259788e-09,8.7793898137766e-26,2.34054752707896e-13,8.38345758742373e-09,1.44631837393995e-46,2.23892332587713e-26,9.02280136259002e-38,8.25186430148425e-15,9.85604621243386e-19,4.24608601472299e-17,"category1"
